"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","3721678001.6","3287470850","1.14","6832528","684383","11.13","/mutual-fund/holding-history/11349/547977/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","2962482075.6","3258271990","1.13","1909554","","","/mutual-fund/holding-history/11349/209/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","4384593356","3093392040","1.07","1975220","","","/mutual-fund/holding-history/11349/67/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","2738704284","2955824990","1.03","1104940","","","/mutual-fund/holding-history/11349/153/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","2998937856","2934600290","1.02","2374080","-240181","-9.19","/mutual-fund/holding-history/11349/1500/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","3486291840","2931269340","1.02","201753","18918","10.35","/mutual-fund/holding-history/11349/202203/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","2716055469.4","2919927990","1.01","4081532","169203","4.32","/mutual-fund/holding-history/11349/701/"
"Oracle Financial Services Software Ltd","OFSS","532466","Technology","2719775016","2819172550","0.98","323244","35693","12.41","/mutual-fund/holding-history/11349/964/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","2731506921","2757791080","0.96","524634","","","/mutual-fund/holding-history/11349/1311/"
"Bharat Electronics Ltd","BEL","500049","Industrials","3327633293.55","2708849600","0.94","8624163","","","/mutual-fund/holding-history/11349/175/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","2681557660","2613100890","0.91","57286","","","/mutual-fund/holding-history/11349/994/"
"ITC Hotels Ltd","ITCHOTELS","544325","Consumer Cyclical","2826186793.08","2578822500","0.9","13263501","5247313","65.46","/mutual-fund/holding-history/11349/2956218/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","2598829160","2495873490","0.87","1781240","154124","9.47","/mutual-fund/holding-history/11349/642/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","2515374880.2","2480779570","0.86","1738458","","","/mutual-fund/holding-history/11349/584/"
"Indian Bank","INDIANB","532814","Financial Services","2448950469","2317859110","0.8","4096605","334880","8.9","/mutual-fund/holding-history/11349/609/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","2427858738.8","2311373960","0.8","1680877","638260","61.22","/mutual-fund/holding-history/11349/1071/"
"Mphasis Ltd","MPHASIS","526299","Technology","2357516604","2291256690","0.8","928010","","","/mutual-fund/holding-history/11349/881/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","2502733064","2159040270","0.75","2164994","14341","0.67","/mutual-fund/holding-history/11349/764/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","2334529718.4","2141682180","0.74","5655353","2089063","58.58","/mutual-fund/holding-history/11349/556/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","2106814976","2049479940","0.71","707840","","","/mutual-fund/holding-history/11349/297/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","2147966319.2","1896213950","0.66","1717274","663162","62.91","/mutual-fund/holding-history/11349/184/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1757033698.5","1675683220","0.58","273447","","","/mutual-fund/holding-history/11349/853/"
"3M India Ltd","3MINDIA","523395","Industrials","1658816675","1654695050","0.57","54955","","","/mutual-fund/holding-history/11349/10/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","1598193801","1644266830","0.57","635490","","","/mutual-fund/holding-history/11349/276/"
"Apar Industries Ltd","APARINDS","532259","Industrials","2214932335","1623317970","0.56","289723","","","/mutual-fund/holding-history/11349/88/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","1670573153.7","1606792090","0.56","743369","-24002","-3.13","/mutual-fund/holding-history/11349/478/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","1792837625","1598028990","0.55","356075","","","/mutual-fund/holding-history/11349/80502/"
