"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Mar, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","6330059425","5612612000","1.49","487115","-30033","-5.81","/mutual-fund/holding-history/9386/842/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","5835134894.4","5534851000","1.47","2450296","-93168","-3.66","/mutual-fund/holding-history/9386/560/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","6366544189.2","5412659000","1.43","2030407","135794","7.17","/mutual-fund/holding-history/9386/807/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","5411865486.4","5382088000","1.42","2299399","-101537","-4.23","/mutual-fund/holding-history/9386/117/"
"Vedanta Ltd","VEDL","500295","Basic Materials","4760528146","5000065000","1.32","10789955","","","/mutual-fund/holding-history/9386/1289/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","5077583270","4788925000","1.27","723818","24000","3.43","/mutual-fund/holding-history/9386/93/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","5299130234.6","4625160000","1.22","2988119","","","/mutual-fund/holding-history/9386/60957/"
"One97 Communications Ltd","PAYTM","543396","Technology","4917262552.75","4519774000","1.2","5769065","","","/mutual-fund/holding-history/9386/712312/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","4441193063.7","4440681000","1.18","2559913","","","/mutual-fund/holding-history/9386/1316/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","4969831518","4410294000","1.17","24627510","","","/mutual-fund/holding-history/9386/705188/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","4681965986.4","4351424000","1.15","4769729","-252138","-5.02","/mutual-fund/holding-history/9386/677/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","3984848880","4254144000","1.13","7908800","-422388","-5.07","/mutual-fund/holding-history/9386/697/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","4421103021.5","3943951000","1.04","3402157","1036543","43.82","/mutual-fund/holding-history/9386/476/"
