"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HeidelbergCement India Ltd","HEIDELBERG","500292","Basic Materials","491153266.76","472848000","0.55","2299622","","","/mutual-fund/holding-history/9129/536/"
"Orient Electric Ltd Ordinary Shares","ORIENTELEC","541301","Consumer Cyclical","458749643.04","466537000","0.54","2082197","","","/mutual-fund/holding-history/9129/94299/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","480947571","460938000","0.54","236245","","","/mutual-fund/holding-history/9129/1437/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","389541179.5","441578000","0.52","921010","","","/mutual-fund/holding-history/9129/14/"
"Alembic Pharmaceuticals Ltd","APLLTD","533573","Healthcare","416612196","425917000","0.5","409890","","","/mutual-fund/holding-history/9129/92/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","436634700","422673000","0.49","10740","","","/mutual-fund/holding-history/9129/569/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","425764500","420906000","0.49","430000","36711","9.33","/mutual-fund/holding-history/9129/452/"
"Mold-tek Packaging Ltd","MOLDTKPAC","533080","Consumer Cyclical","432796000","406580000","0.47","580000","-210942","-26.67","/mutual-fund/holding-history/9129/1577/"
"Timken India Ltd","TIMKEN","522113","Industrials","405159444","404893000","0.47","115740","","","/mutual-fund/holding-history/9129/1399/"
"IndiaMART InterMESH Ltd","INDIAMART","542726","Communication Services","397093752","404251000","0.47","155601","-59199","-27.56","/mutual-fund/holding-history/9129/149049/"
