"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Bajaj Consumer Care Ltd","BAJAJCON","533229","Consumer Defensive","2344451477.4","2061978000","0.31","9856020","","","/mutual-fund/holding-history/10906/145/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","2175998032","2056576000","0.31","3218932","750000","30.38","/mutual-fund/holding-history/10906/1771/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","2344625061.45","2054532000","0.31","5367117","","","/mutual-fund/holding-history/10906/888524/"
"ICRA Ltd","ICRA","532835","Financial Services","2055008264","2052280000","0.31","303188","194977","180.18","/mutual-fund/holding-history/10906/586/"
"Narayana Hrudayalaya Ltd","NH","539551","Healthcare","1874655491.5","2049233000","0.31","944173","","","/mutual-fund/holding-history/10906/1886/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","1992069233.1","2034040000","0.31","1832799","","","/mutual-fund/holding-history/10906/219/"
"Texmaco Rail & Engineering Ltd","TEXRAIL","533326","Industrials","1815935990.11","2008402000","0.3","11408783","","","/mutual-fund/holding-history/10906/1380/"
"VST Tillers Tractors Ltd","VSTTILLERS","531266","Industrials","2495269844.5","1993226000","0.3","543691","","","/mutual-fund/holding-history/10906/1503/"
"Asahi India Glass Ltd","ASAHIINDIA","515030","Consumer Cyclical","2201419558.8","1986695000","0.3","2616999","","","/mutual-fund/holding-history/10906/107/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","2073261005.2","1959990000","0.29","484271","","","/mutual-fund/holding-history/10906/406/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","2269597817.6","1954172000","0.29","1145336","","","/mutual-fund/holding-history/10906/139598/"
"UTI Asset Management Co Ltd","UTIAMC","543238","Financial Services","2226684007.8","1948084000","0.29","1509207","","","/mutual-fund/holding-history/10906/305194/"
"CESC Ltd","CESC","500084","Utilities","1990716781.86","1921574000","0.29","11188202","","","/mutual-fund/holding-history/10906/256/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","1981905427","1913122000","0.29","396905","","","/mutual-fund/holding-history/10906/914/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","2001317207.4","1905932000","0.29","1964676","","","/mutual-fund/holding-history/10906/1087/"
"Thyrocare Technologies Ltd","THYROCARE","539871","Healthcare","2256516000","1882172000","0.28","1900224","","","/mutual-fund/holding-history/10906/2013/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","2016787500","1876713000","0.28","3250000","","","/mutual-fund/holding-history/10906/71/"
"Castrol India Ltd","CASTROLIND","500870","Energy","1843144071.52","1855614000","0.28","8368798","","","/mutual-fund/holding-history/10906/241/"
"Lemon Tree Hotels Ltd","LEMONTREE","541233","Consumer Cyclical","2050440826.87","1826017000","0.27","13032739","","","/mutual-fund/holding-history/10906/81513/"
