"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","2797740600.8","2440573000","0.37","2257699","","","/mutual-fund/holding-history/10901/709/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","2434091838","2431435000","0.37","5314611","","","/mutual-fund/holding-history/10901/747240/"
"H.G. Infra Engineering Ltd Ordinary Shares","HGINFRA","541019","Industrials","2389015947.8","2387687000","0.36","2214923","","","/mutual-fund/holding-history/10901/78664/"
"AAVAS Financiers Ltd","AAVAS","541988","Financial Services","2119995415.2","2330859000","0.35","1113911","","","/mutual-fund/holding-history/10901/106807/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","2034905011.25","2307830000","0.35","4813495","","","/mutual-fund/holding-history/10901/14/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","2365757836.8","2305494000","0.35","1333272","","","/mutual-fund/holding-history/10901/496/"
"Chambal Fertilisers & Chemicals Ltd","CHAMBLFERT","500085","Basic Materials","2234120889","2293773000","0.34","4057980","","","/mutual-fund/holding-history/10901/258/"
"Astra Microwave Products Ltd","ASTRAMICRO","532493","Technology","2171400000","2283160000","0.34","2200000","","","/mutual-fund/holding-history/10901/123/"
"City Union Bank Ltd","CUB","532210","Financial Services","2167196651.4","2241924000","0.34","10250670","","","/mutual-fund/holding-history/10901/295/"
"Orient Electric Ltd Ordinary Shares","ORIENTELEC","541301","Consumer Cyclical","2199317274","2234826000","0.34","9974228","","","/mutual-fund/holding-history/10901/94299/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","2098466240","2200782000","0.33","4966784","","","/mutual-fund/holding-history/10901/816/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","2103610299","2165959000","0.33","1090010","","","/mutual-fund/holding-history/10901/318/"
"Aditya Birla Sun Life AMC Ltd","ABSLAMC","543374","Financial Services","2424465000","2159595000","0.32","2700000","","","/mutual-fund/holding-history/10901/674158/"
"Bajaj Electricals Ltd","BAJAJELEC","500031","Consumer Cyclical","2021786919.1","2135134000","0.32","3101138","39067","1.28","/mutual-fund/holding-history/10901/146/"
"Allied Blenders and Distillers Ltd","ABDL","544203","Consumer Defensive","2379216440.2","2127668000","0.32","4937158","","","/mutual-fund/holding-history/10901/2365668/"
"Zensar Technologies Ltd","ZENSARTECH","504067","Technology","2022873391","2103514000","0.32","2496604","","","/mutual-fund/holding-history/10901/1544/"
"TTK Prestige Ltd","TTKPRESTIG","517506","Consumer Cyclical","2134702200","2095600000","0.31","3356450","","","/mutual-fund/holding-history/10901/1421/"
"FDC Ltd","FDC","531599","Healthcare","2096194789.3","2084224000","0.31","4275331","2363","0.06","/mutual-fund/holding-history/10901/410/"
"Bajaj Consumer Care Ltd","BAJAJCON","533229","Consumer Defensive","2345929880.4","2061978000","0.31","9856020","","","/mutual-fund/holding-history/10901/145/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","2178895070.8","2056576000","0.31","3218932","750000","30.38","/mutual-fund/holding-history/10901/1771/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","2351870669.4","2054532000","0.31","5367117","","","/mutual-fund/holding-history/10901/888524/"
"ICRA Ltd","ICRA","532835","Financial Services","2052885948","2052280000","0.31","303188","194977","180.18","/mutual-fund/holding-history/10901/586/"
"Narayana Hrudayalaya Ltd","NH","539551","Healthcare","1877015924","2049233000","0.31","944173","","","/mutual-fund/holding-history/10901/1886/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","1991519393.4","2034040000","0.31","1832799","","","/mutual-fund/holding-history/10901/219/"
"Texmaco Rail & Engineering Ltd","TEXRAIL","533326","Industrials","1814110584.83","2008402000","0.3","11408783","","","/mutual-fund/holding-history/10901/1380/"
"VST Tillers Tractors Ltd","VSTTILLERS","531266","Industrials","2484667870","1993226000","0.3","543691","","","/mutual-fund/holding-history/10901/1503/"
"Asahi India Glass Ltd","ASAHIINDIA","515030","Consumer Cyclical","2205214207.35","1986695000","0.3","2616999","","","/mutual-fund/holding-history/10901/107/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","2070984931.5","1959990000","0.29","484271","","","/mutual-fund/holding-history/10901/406/"
