"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Clean Science and Technology Ltd","CLEAN","543318","Basic Materials","515998587.6","534541000","0.08","437324","","","https://trendlyne.com/mutual-fund/holding-history/10906/580869/"
"Sheela Foam Ltd","SFL","540203","Consumer Cyclical","532767200","504036000","0.08","761096","","","https://trendlyne.com/mutual-fund/holding-history/10906/4957/"
"Astec Lifesciences Ltd","ASTEC","533138","Basic Materials","435323858.75","477500000","0.07","526867","65858","14.29","https://trendlyne.com/mutual-fund/holding-history/10906/121/"
"Aeroflex Industries Ltd","AEROFLEX","543972","Industrials","455562798.98","459599000","0.07","2431354","-500000","-17.06","https://trendlyne.com/mutual-fund/holding-history/10906/1617407/"
"P N Gadgil Jewellers Ltd","PNGJL","544256","Consumer Cyclical","445243126","449049000","0.07","768920","","","https://trendlyne.com/mutual-fund/holding-history/10906/2618334/"
"National Securities Depository Ltd","","544467","Financial Services","653345352","439963000","0.07","549954","549954","New","https://trendlyne.com/mutual-fund/holding-history/10906/3196098/"
"Wonderla Holidays Ltd","WONDERLA","538268","Consumer Cyclical","390533573","397475000","0.06","625354","","","https://trendlyne.com/mutual-fund/holding-history/10906/1528/"
"Rishabh Instruments Ltd","RISHABH","543977","Technology","580034457.5","384423000","0.06","1346725","","","https://trendlyne.com/mutual-fund/holding-history/10906/1650515/"
"R K Swamy Ltd","RKSWAMY","544136","Communication Services","338556905.9","353740000","0.05","2114659","","","https://trendlyne.com/mutual-fund/holding-history/10906/2102499/"
"Netweb Technologies India Ltd","NETWEB","543945","Technology","258142662.4","255514000","0.04","125776","","","https://trendlyne.com/mutual-fund/holding-history/10906/1544933/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","245115312","246114000","0.04","172192","-3933","-2.23","https://trendlyne.com/mutual-fund/holding-history/10906/612873/"
"Ceigall India Ltd","CEIGALL","544223","Industrials","248746000.32","242322000","0.04","970451","-415629","-29.99","https://trendlyne.com/mutual-fund/holding-history/10906/2484735/"
"Credo Brands Marketing Ltd","MUFTI","544058","Consumer Cyclical","128639742.3","173188000","0.03","1049435","-541760","-34.05","https://trendlyne.com/mutual-fund/holding-history/10906/1839759/"
"Amber Enterprises India Ltd Ordinary Shares","AMBER","540902","Consumer Cyclical","144596947.5","156507000","0.02","19653","19653","New","https://trendlyne.com/mutual-fund/holding-history/10906/73518/"
"Aditya Infotech Ltd","CPPLUS","544466","Industrials","237079535","130769000","0.02","193732","193732","New","https://trendlyne.com/mutual-fund/holding-history/10906/3195212/"
"Inox Wind Limited - Rights Share**","","","","","48820000","0.01","1588150","1588150","New",""
"Jtekt India","","","","","34837000","0.01","1668433","1668433","New",""
"L&T Finance Ltd","LTF","533519","Financial Services","6904799.04","6459000","0","31884","31884","New","https://trendlyne.com/mutual-fund/holding-history/10906/777/"
"JNK India Ltd","JNKINDIA","544167","Industrials","4070791.25","4351000","0","13513","-372087","-96.5","https://trendlyne.com/mutual-fund/holding-history/10906/2217258/"
