"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Greenlam Industries Ltd","GREENLAM","538979","Consumer Cyclical","1184490421.56","915447000","0.16","4422876","","","/mutual-fund/holding-history/10901/1565/"
"Seamec Ltd","SEAMECLTD","526807","Industrials","864036518.05","888464000","0.15","911479","","","/mutual-fund/holding-history/10901/1198/"
"RHI Magnesita India Ltd","RHIM","534076","Industrials","921550543.2","875418000","0.15","1984176","","","/mutual-fund/holding-history/10901/989/"
"PNC Infratech Ltd","PNCINFRA","539150","Industrials","964501210.35","871284000","0.15","3282291","","","/mutual-fund/holding-history/10901/1717/"
"Archean Chemical Industries Ltd","ACI","543657","Basic Materials","865499664.6","861517000","0.15","1373373","","","/mutual-fund/holding-history/10901/1121044/"
"Campus Activewear Ltd","CAMPUS","543523","Consumer Cyclical","955942061.36","843347000","0.15","3475142","60636","1.78","/mutual-fund/holding-history/10901/877863/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","982239672","836989000","0.14","772201","","","/mutual-fund/holding-history/10901/658068/"
"SIS Ltd Ordinary Shares","SIS","540673","Industrials","851016459","827718000","0.14","2452497","","","/mutual-fund/holding-history/10901/57882/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","920073237","825940000","0.14","1063054","","","/mutual-fund/holding-history/10901/685/"
"Premier Energies Ltd","PREMIERENE","544238","Technology","855403732.8","809879000","0.14","824724","","","/mutual-fund/holding-history/10901/2571009/"
"Polyplex Corp Ltd","POLYPLEX","524051","Basic Materials","909674769.5","801513000","0.14","657517","","","/mutual-fund/holding-history/10901/1054/"
"Mishra Dhatu Nigam Ltd Ordinary Shares","MIDHANI","541195","Basic Materials","1077485176.25","794877000","0.14","2589175","659877","34.2","/mutual-fund/holding-history/10901/80900/"
"Stanley Lifestyles Ltd","STANLEY","544202","Consumer Cyclical","878986339.2","772098000","0.13","2526912","","","/mutual-fund/holding-history/10901/2350518/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","735548864","769453000","0.13","11492951","118300","1.04","/mutual-fund/holding-history/10901/325199/"
"Venus Pipes & Tubes Ltd","VENUSPIPES","543528","Basic Materials","875460000","730800000","0.13","600000","","","/mutual-fund/holding-history/10901/877861/"
"Apeejay Surrendra Park Hotels Ltd","PARKHOTELS","544111","Consumer Cyclical","743497137.88","719107000","0.12","4754426","","","/mutual-fund/holding-history/10901/1985406/"
"Sharda Motor Industries Ltd","SHARDAMOTR","535602","Consumer Cyclical","796166400","704939000","0.12","414670","","","/mutual-fund/holding-history/10901/1769/"
"Kirloskar Ferrous Industries Ltd","","500245","Industrials","859762794","703366000","0.12","1532554","","","/mutual-fund/holding-history/10901/2056/"
"Rallis India Ltd","RALLIS","500355","Basic Materials","843510562.2","695564000","0.12","2956574","","","/mutual-fund/holding-history/10901/1101/"
"Pokarna Ltd","POKARNA","532486","Industrials","785253499.5","667513000","0.12","738645","","","/mutual-fund/holding-history/10901/3854/"
"JK Tyre & Industries Ltd","JKTYRE","530007","Consumer Cyclical","779089588.2","643334000","0.11","2072598","","","/mutual-fund/holding-history/10901/687/"
"Landmark Cars Ltd","LANDMARK","543714","Consumer Cyclical","697405742","621896000","0.11","1510190","","","/mutual-fund/holding-history/10901/1241144/"
"Indoco Remedies Ltd","INDOCO","532612","Healthcare","643736033.49","603417000","0.1","2594559","","","/mutual-fund/holding-history/10901/614/"
"ICRA Ltd","ICRA","532835","Financial Services","702127073.5","601545000","0.1","108211","","","/mutual-fund/holding-history/10901/586/"
"IndiaMART InterMESH Ltd","INDIAMART","542726","Communication Services","597505844.8","597687000","0.1","258952","","","/mutual-fund/holding-history/10901/149049/"
"Fusion Finance Ltd","FUSION","543652","Financial Services","622448114.74","590278000","0.1","3618674","-1259575","-25.82","/mutual-fund/holding-history/10901/755078/"
"Subros Ltd","SUBROS","517168","Consumer Cyclical","737084880","580663000","0.1","968256","","","/mutual-fund/holding-history/10901/1302/"
"Cyient DLM Ltd","CYIENTDLM","543933","Technology","610923202.65","561808000","0.1","1256139","","","/mutual-fund/holding-history/10901/1513580/"
"3M India Ltd","3MINDIA","523395","Industrials","545500350","546135000","0.09","18138","","","/mutual-fund/holding-history/10901/10/"
"Divgi TorqTransfer Systems Ltd","DIVGIITTS","543812","Consumer Cyclical","641709706","540599000","0.09","1152910","","","/mutual-fund/holding-history/10901/1381687/"
"Sheela Foam Ltd","SFL","540203","Consumer Cyclical","540061187.5","540523000","0.09","838930","-88008","-9.49","/mutual-fund/holding-history/10901/4957/"
"Bajel Projects Ltd","BAJEL","544042","Utilities","656537547.78","529796000","0.09","3089007","","","/mutual-fund/holding-history/10901/1845603/"
"Sanathan Textiles Ltd","SANATHAN","544314","Consumer Cyclical","548815131.4","521275000","0.09","1243351","","","/mutual-fund/holding-history/10901/2863354/"
"Aeroflex Industries Ltd","AEROFLEX","543972","Industrials","491910514.74","515098000","0.09","2931354","","","/mutual-fund/holding-history/10901/1617407/"
"Clean Science and Technology Ltd","CLEAN","543318","Basic Materials","622968038","513768000","0.09","437324","437324","New","/mutual-fund/holding-history/10901/580869/"
"Gabriel India Ltd","GABRIEL","505714","Consumer Cyclical","563206473.75","470098000","0.08","868141","","","/mutual-fund/holding-history/10901/429/"
"Go Fashion (India) Ltd","GOCOLORS","543401","Consumer Cyclical","507999292.05","466862000","0.08","594047","","","/mutual-fund/holding-history/10901/728986/"
"Capital Small Finance Bank Ltd","CAPITALSFB","544120","Financial Services","437536332.6","439405000","0.08","1495084","-21","0","/mutual-fund/holding-history/10901/1998221/"
"R K Swamy Ltd","RKSWAMY","544136","Communication Services","389985412.78","433717000","0.07","2114659","","","/mutual-fund/holding-history/10901/2102499/"
"Wonderla Holidays Ltd","WONDERLA","538268","Consumer Cyclical","417079850.3","420988000","0.07","625354","","","/mutual-fund/holding-history/10901/1528/"
